--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
042.195  000.054  000.054: require('mason-core.functional.number')
042.329  000.061  000.061: require('mason-core.functional.string')
042.387  000.050  000.050: require('mason-core.functional.table')
042.439  000.046  000.046: require('mason-core.functional.type')
042.444  000.718  000.192: require('mason-core.functional')
042.499  000.848  000.130: require('mason-core.platform')
042.590  000.088  000.088: require('mason.settings')
042.598  001.185  000.159: require('mason-core.installer.InstallLocation')
042.798  000.093  000.093: require('mason-core.log')
042.804  000.142  000.050: require('mason-core.EventEmitter')
042.874  000.068  000.068: require('mason-registry.sources')
042.881  000.281  000.071: require('mason-registry')
042.884  001.951  000.485: require('mason')
043.497  000.146  000.146: require('mason.api.command')
043.600  000.013  000.013: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
043.616  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
043.972  000.202  000.202: require('lspconfig.util')
044.003  000.308  000.106: sourcing /home/ronin/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
044.054  000.393  000.085: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
044.093  000.005  000.005: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
044.110  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
044.705  000.005  000.005: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
044.720  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
045.075  000.299  000.299: require('cmp_nvim_lsp.source')
045.081  000.965  000.658: require('cmp_nvim_lsp')
045.174  000.039  000.039: require('mason-lspconfig.settings')
045.179  000.094  000.055: require('mason-lspconfig')
045.253  000.062  000.062: require('mason-core.async')
045.352  000.049  000.049: require('mason-core.async.control')
045.405  000.050  000.050: require('mason-core.result')
045.563  000.042  000.042: require('mason-core.async.uv')
045.570  000.161  000.119: require('mason-core.fs')
045.593  000.337  000.077: require('mason-registry.installer')
045.774  000.046  000.046: require('mason-core.optional')
046.037  000.164  000.164: require('mason-core.process')
046.107  000.066  000.066: require('mason-core.spawn')
046.113  000.284  000.054: require('mason-core.installer.managers.powershell')
046.155  000.040  000.040: require('mason.version')
046.159  000.382  000.057: require('mason-core.fetch')
046.202  000.040  000.040: require('mason-core.providers')
046.478  000.123  000.123: require('mason-core.purl')
046.487  000.187  000.064: require('mason-core.package.AbstractPackage')
046.869  000.093  000.093: require('mason-core.installer.compiler.expr')
046.881  000.233  000.139: require('mason-core.installer.compiler.link')
047.331  000.052  000.052: require('mason-core.installer.context.InstallContextCwd')
047.407  000.071  000.071: require('mason-core.installer.context.InstallContextFs')
047.458  000.049  000.049: require('mason-core.installer.context.InstallContextSpawn')
047.549  000.087  000.087: require('mason-core.receipt')
047.572  000.401  000.143: require('mason-core.installer.context')
047.575  000.481  000.080: require('mason-core.installer')
047.596  000.590  000.108: require('mason-core.installer.managers.std')
047.601  000.718  000.128: require('mason-core.installer.compiler.schemas')
047.692  000.089  000.089: require('mason-core.installer.compiler.util')
047.714  001.161  000.122: require('mason-core.installer.compiler')
047.824  000.101  000.101: require('mason-core.installer.linker')
047.834  001.345  000.083: require('mason-core.installer.InstallRunner')
047.941  000.104  000.104: require('mason-core.installer.UninstallRunner')
047.972  001.728  000.091: require('mason-core.package')
047.976  001.771  000.044: require('mason-registry.sources.util')
047.993  002.321  000.083: require('mason-registry.sources.github')
054.742  000.076  000.076: require('vim.F')
055.002  000.092  000.092: require('mason-lspconfig.mappings')
055.010  000.255  000.163: require('mason-lspconfig.features.automatic_enable')
066.031  000.055  000.055: require('mason-lspconfig.notify')
066.081  000.252  000.197: require('mason-lspconfig.api.command')
066.697  000.053  000.053: sourcing /home/ronin/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
066.709  000.109  000.056: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
066.722  000.004  000.004: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
066.742  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
067.157  000.055  000.055: sourcing /home/ronin/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
067.164  000.090  000.034: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
067.174  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
067.188  000.002  000.002: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
067.422  000.005  000.005: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
067.436  000.002  000.002: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
067.618  000.127  000.127: sourcing /home/ronin/.local/share/nvim/lazy/neo-tree.nvim/plugin/neo-tree.lua
067.625  000.160  000.033: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
067.638  000.004  000.004: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
067.652  000.002  000.002: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
068.011  000.353  000.353: require('neo-tree')
068.167  000.136  000.136: require('neo-tree.log')
068.849  000.076  000.076: require('nvim-treesitter.utils')
069.826  000.064  000.064: require('vim.treesitter.language')
069.879  000.044  000.044: require('vim.func')
069.957  000.063  000.063: require('vim.func._memoize')
070.026  000.379  000.207: require('vim.treesitter.query')
070.089  000.060  000.060: require('vim.treesitter._range')
070.109  000.593  000.154: require('vim.treesitter.languagetree')
070.116  000.748  000.154: require('vim.treesitter')
071.098  002.243  001.495: require('nvim-treesitter.parsers')
071.648  000.099  000.099: require('nvim-treesitter.compat')
071.907  000.166  000.166: require('nvim-treesitter.ts_utils')
071.957  000.304  000.137: require('nvim-treesitter.tsrange')
072.058  000.090  000.090: require('nvim-treesitter.caching')
072.105  000.694  000.202: require('nvim-treesitter.query')
072.164  000.916  000.222: require('nvim-treesitter.configs')
072.175  001.070  000.154: require('nvim-treesitter.info')
072.330  000.152  000.152: require('nvim-treesitter.shell_command_selectors')
072.415  003.778  000.236: require('nvim-treesitter.install')
072.509  000.090  000.090: require('nvim-treesitter.statusline')
072.615  000.103  000.103: require('nvim-treesitter.query_predicates')
072.621  004.217  000.247: require('nvim-treesitter')
072.819  000.188  000.188: require('vim.iter')
073.718  005.361  000.957: sourcing /home/ronin/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
073.733  005.407  000.045: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
073.752  000.005  000.005: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
073.780  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
076.227  000.144  000.144: require('nvim-treesitter.locals')
076.239  000.271  000.127: require('nvim-treesitter.incremental_selection')
076.356  000.074  000.074: require('nvim-treesitter.highlight')
080.243  003.382  003.382: require('vim.filetype')
081.390  000.176  000.176: require('luasnip.util.types')
081.411  000.509  000.334: require('luasnip.util.ext_opts')
082.026  000.262  000.262: require('luasnip.util.lazy_table')
082.196  000.166  000.166: require('luasnip.extras.filetype_functions')
082.274  000.715  000.286: require('luasnip.default_config')
082.278  000.864  000.150: require('luasnip.session')
082.289  001.723  000.349: require('luasnip.config')
083.198  000.043  000.043: require('luasnip.util.vimversion')
083.208  000.559  000.515: require('luasnip.util.util')
